samples,data_type,Total_reads,Mapped_reads,Forward_strand,Reverse_strand,Paired_end_reads,Both_pairs_mapped,Read_1,Read_2,Singletons,Average_insert_size,Median_insert_size
curl1,dm6,56418937,9430835,51550957,4867980,56418937,8904129,28207676,28211261,526706,21256.9,22
curl2,dm6,41472541,10680392,36009946,5462595,41472541,10077278,20734629,20737912,603114,15895.1,28
curl3,dm6,50427497,11967807,44101850,6325647,50427497,10853970,25212650,25214847,1113837,14052.2,70
straight1,dm6,42592964,8531300,38174742,4418222,42592964,8148314,21295303,21297661,382986,34136.4,20
straight2,dm6,40697377,7896154,36546616,4150761,40697377,7426795,20346526,20350851,469359,41155,20
straight3,dm6,41436837,7930565,36948416,4488421,41436837,6876320,20718303,20718534,1054245,40988.7,22
curl1,hg19,56458961,27915700,42222969,14235992,56458961,27377006,28226211,28232750,538694,28116.9,20
curl2,hg19,41492901,22685738,29871202,11621699,41492901,22158394,20743283,20749618,527344,31352.8,21
curl3,hg19,50385733,24217478,37620012,12765721,50385733,23011025,25191029,25194704,1206453,27754.4,20
straight1,hg19,42619433,24693793,29801963,12817470,42619433,23691142,21306635,21312798,1002651,38732.1,20
straight2,hg19,40735128,22510719,28904916,11830212,40735128,21281783,20363923,20371205,1228936,44115.5,20
straight3,hg19,41442580,20438160,30607624,10834956,41442580,19100481,20718457,20724123,1337679,41506.2,20
curl1,mm10,56431168,26706192,42852387,13578781,56431168,26194620,28213417,28217751,511572,39185.9,20
curl2,mm10,41468356,21252868,30619297,10849059,41468356,20774695,20732100,20736256,478173,47133.8,20
curl3,mm10,50370898,23321537,38291726,12079172,50370898,22538024,25184265,25186633,783513,33573.7,20
straight1,mm10,42575877,21552920,31680608,10895269,42575877,21253470,21286027,21289850,299450,22911.3,20
straight2,mm10,40673190,19172485,30948513,9724677,40673190,18808003,20334851,20338339,364482,31014.1,20
straight3,mm10,41397633,17819321,32146648,9250985,41397633,16916225,20696748,20700885,903096,66721,20
