"","curl1","curl2","curl3","strait1","strait2","strait3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"0610005C13Rik",0,0,0,18.2052356776658,6.79323378838425,7.75494485632967,5.45890238706329,-6.06791511178842,1.56088951985643,-3.88747251781572,0.000101293451888459,0.00062210203212415,"0610005C13Rik","71661"
"0610007P14Rik",82.2220291468925,170.170953270988,85.8566768762245,0,0,0,56.3749432156842,9.16691639833765,1.29878353861325,7.05807867577797,1.68820474209448e-12,5.41245580758507e-11,"0610007P14Rik",NA
"0610009B22Rik",0.527064289403157,0,0,0,0,0,0.0878440482338595,0.648704840267485,4.07237813541102,0.15929386189036,0.873437356515855,NA,"0610009B22Rik","66050"
"0610009L18Rik",0,0,1.08679337818006,0,0,0,0.181132229696676,0.809987487622326,4.06699204282385,0.199161316052127,0.84213655851987,NA,"0610009L18Rik","66838"
"0610009O20Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"0610009O20Rik",NA
"0610010B08Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"0610010B08Rik",NA
"0610010F05Rik",6.32477147283789,3.67275438714363,9.78114040362051,3.83268119529807,5.66102815698687,3.32354779556986,5.43265390190947,0.632985927966925,0.970795511691756,0.652028074237645,0.51438306175368,0.625774739347707,"0610010F05Rik","71675"
"0610010K14Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"0610010K14Rik","104457"
"0610011F06Rik",0.527064289403157,1.22425146238121,1.08679337818006,0,0,0,0.473018188327404,2.2505739580062,3.1233248774761,0.720569920291112,0.471174166202563,NA,"0610011F06Rik",NA
"0610012G03Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"0610012G03Rik","106264"
"0610030E20Rik",0,0,0,3.83268119529807,5.66102815698687,5.53924632594976,2.50549261303912,-4.9358376259712,1.79819110668186,-2.7448904666641,0.00605310972540144,0.0201428662295265,"0610030E20Rik","68364"
"0610031O16Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"0610031O16Rik","68369"
"0610037L13Rik",0.527064289403157,0,0,0,0,0,0.0878440482338595,0.648704840267485,4.07237813541102,0.15929386189036,0.873437356515855,NA,"0610037L13Rik",NA
"0610038B21Rik",0,0,0,0,0,2.21569853037991,0.369283088396651,-2.16882890809699,4.03342870604725,-0.53771346072023,0.59077488477755,NA,"0610038B21Rik","70345"
"0610039H22Rik",2.10825715761263,0,1.08679337818006,0,0,0,0.532508422632114,2.48524004607104,3.35192840114594,0.741435898577487,0.458429184874693,NA,"0610039H22Rik","68397"
"0610039K10Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"0610039K10Rik","68386"
"0610040B10Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"0610040B10Rik","67672"
"0610040F04Rik",0,0,0,0,3.39661689419212,2.21569853037991,0.935385904095338,-3.50780698790405,2.77540338627378,-1.26389086546932,0.206269200861674,NA,"0610040F04Rik","75394"
"0610040J01Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"0610040J01Rik","76261"
"0610043K17Rik",0.527064289403157,0,0,0,0,1.10784926518995,0.272485592432185,-0.313077051248528,4.07237789818556,-0.0768781923180605,0.938720446203516,NA,"0610043K17Rik","68400"
"1010001N08Rik",1.58119286820947,4.89700584952483,5.43396689090028,8.62353268942066,7.92543941978162,4.43139706075981,5.48208912976611,-0.887243453813086,0.996358100783167,-0.890486515958154,0.373204705553453,0.494179927910067,"1010001N08Rik","68434"
"1110001J03Rik",1.05412857880631,0,0,0,0,0,0.175688096467719,1.18196178239688,4.05630175741403,0.291389017159907,0.770753813333353,NA,"1110001J03Rik",NA
"1110002L01Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1110002L01Rik","100043040"
